time,CIF Fitness Centre,PAC - 1st Floor - Free Weights,Warrior Zone,PAC - 2nd Floor - Cardio,PAC - 2nd Floor - Weight Machines,PAC - 1st Floor - Functional
2026-03-10 21:43,42,83,53,68,80,96
2026-03-10 22:32,38,83,53,68,80,96
2026-03-10 23:31,62,51,40,36,88,64
2026-03-11 02:22,38,76,65,32,65,68
2026-03-11 04:45,38,76,65,32,65,68
2026-03-11 05:52,38,76,65,32,65,68
2026-03-11 06:59,38,76,65,32,65,68
2026-03-11 07:50,38,76,65,32,65,68
2026-03-11 08:49,38,76,65,32,65,68
2026-03-11 09:48,38,76,65,32,65,68
2026-03-11 10:43,0,0,0,0,0,0
2026-03-11 11:35,0,12,7,14,15,20
2026-03-11 13:08,0,36,28,16,52,44
2026-03-11 14:50,0,53,37,34,65,72
2026-03-11 15:52,0,53,37,34,65,72
2026-03-11 16:57,0,65,38,42,68,76
2026-03-11 17:53,14,72,37,38,50,48
2026-03-11 19:01,21,60,40,30,68,60
2026-03-11 20:37,30,52,33,40,65,32
2026-03-11 21:36,30,83,40,50,78,100
2026-03-11 22:30,30,88,40,70,100,100
2026-03-11 23:30,30,76,37,64,100,100
2026-03-12 02:28,33,83,53,58,95,100
2026-03-12 04:49,0,0,0,0,0,0
2026-03-12 05:53,0,0,0,0,0,0
2026-03-12 07:00,0,0,0,0,0,0
2026-03-12 08:50,0,0,0,0,0,0
2026-03-12 09:49,0,0,0,0,0,0
2026-03-12 10:42,0,0,0,0,0,0
2026-03-12 11:34,0,16,7,10,22,24
2026-03-12 13:08,0,24,10,14,38,32
2026-03-12 14:53,0,36,15,28,45,72
2026-03-12 16:01,0,36,15,28,45,72
2026-03-12 17:51,0,63,35,42,72,88
2026-03-12 18:58,16,61,33,32,65,60
2026-03-12 19:47,18,61,33,32,65,60
2026-03-12 20:39,18,61,33,32,65,60
2026-03-12 21:36,18,61,33,32,65,60
2026-03-12 22:29,40,51,83,70,65,100
2026-03-12 23:31,40,33,85,40,55,100
2026-03-13 02:26,34,39,47,8,80,100
2026-03-13 04:46,0,32,37,16,70,76
2026-03-13 05:52,0,32,37,16,70,76
2026-03-13 06:59,0,32,37,16,70,76
2026-03-13 07:50,0,32,37,16,70,76
2026-03-13 08:45,0,32,37,16,70,76
2026-03-13 09:43,0,32,37,16,70,76
2026-03-13 10:41,0,0,0,0,0,0
2026-03-13 11:34,0,16,8,12,22,24
2026-03-13 13:06,0,31,18,28,30,44
2026-03-13 14:45,0,35,23,32,35,56
2026-03-13 15:47,0,52,20,32,62,36
2026-03-13 16:45,0,45,23,26,58,36
2026-03-13 17:37,0,57,25,30,68,56
2026-03-13 18:49,19,57,25,30,68,56
2026-03-13 19:33,19,57,25,30,68,56
2026-03-13 20:39,27,57,25,30,68,56
